sampleID	dip_depth	ref_genome	settings
LP0026_38_L004	-0.97	0memhg19decoy	TrueDI26830XA
LP0025_02_L004	-1.82	0memhg19decoy	TrueDI26830XA
LP0026_08_L003	-0.22	0memhg19decoy	TrueDI26830XA
LP0025_10_L003	-1.9	0memhg19decoy	TrueDI26830XA
LP0029_02_L004	1.66	0memhg19decoy	TrueDI26830XA
LP0020_02	-1.55	0memhg19decoy	TrueDI26830XA
LP0029_04_L003	0.84	0memhg19decoy	TrueDI26830XA
LP0020_05	0.37	0memhg19decoy	TrueDI26830XA
LP0026_26_L004	-1.77	0memhg19decoy	TrueDI26830XA
LP0025_15_L003	1.16	0memhg19decoy	TrueDI26830XA
LP0029_06_L003	-0.1	0memhg19decoy	TrueDI26830XA
LP0025_24_L003	0.07	0memhg19decoy	TrueDI26830XA
LP0025_04_L004	0.08	0memhg19decoy	TrueDI26830XA
LP0026_07_L003	0.7	0memhg19decoy	TrueDI26830XA
LP0029_05_L004	-0.52	0memhg19decoy	TrueDI26830XA
LP0020_01	2.08	0memhg19decoy	TrueDI26830XA
LP0025_08_L004	0.35	0memhg19decoy	TrueDI26830XA
LP0020_04	0.46	0memhg19decoy	TrueDI26830XA
LP0028_01_L004	0.47	0memhg19decoy	TrueDI26830XA
LP0025_11_L003	0.24	0memhg38	False40
LP0025_06_L003	-0.04	0memhg38	False40
LP0030_05_L004	0.04	0memhg38	False40
LP0030_03_L004	-2.06	0memhg38	False40
LP0020_03	0.08	0memhg38	False40
LP0020_06	0.36	0memhg38	False40
LP0025_07_L004	-0.29	0memhg38	False40
LP0025_12_L003	0.18	0memhg38	False40
LP0025_17_L003	0.96	0memhg38	False40
LP0026_22_L003	-1.02	0memhg38	False40
LP0025_05_L003	-1.41	0memhg38	False40
LP0027_39_L003	0.19	0memhg38	False40
LP0025_03_L003	-0.29	0memhg38	False40
LP0020_07	-0.33	0memhg38	False40
LP0026_05_L003	0.42	0memhg38	False40
LP0025_01_L004	-0.07	0memhg38	False40
LP0025_21_L004	-0.05	0memhg38	False40
LP0027_26_L003	-1.14	0memhg38	False40
LP0020_08	1.12	0memhg38	False40
LP0027_35_L003	-1.04	0memhg38	False40
LP0026_42_L004	-1.04	0memhg38	False40
LP0026_38_L004	-0.97	0memhg38	False40
LP0025_02_L004	-1.68	0memhg38	False40
LP0026_08_L003	-0.17	0memhg38	False40
LP0025_10_L003	-1.84	0memhg38	False40
LP0029_02_L004	1.39	0memhg38	False40
LP0020_02	-1.31	0memhg38	False40
LP0029_04_L003	0.43	0memhg38	False40
LP0020_05	0.59	0memhg38	False40
