sampleID	tMAD_vs_control	ref_genome	settings
LP0028_01_L004	0.172134317233403	0memhg19decoy	TrueDI26830XA
LP0020_01	0.00882301694634714	0memhg38	False40
LP0020_02	0.0286687311572816	0memhg38	False40
LP0020_03	0.0314433849236585	0memhg38	False40
LP0020_04	0.0256374847193761	0memhg38	False40
LP0020_05	0.0148525654086786	0memhg38	False40
LP0020_06	0.0176569339173221	0memhg38	False40
LP0020_07	0.00961228484664208	0memhg38	False40
LP0020_08	0.0193013516400091	0memhg38	False40
LP0025_01_L004	0.00335062436477932	0memhg38	False40
LP0025_02_L004	0.00921770321924464	0memhg38	False40
LP0025_03_L003	0.00544676781312743	0memhg38	False40
LP0025_04_L004	0.00404945297619116	0memhg38	False40
LP0025_07_L004	0.00434037466505283	0memhg38	False40
LP0025_08_L004	0.0051528777468553	0memhg38	False40
LP0029_02_L004	0.00364120340661261	0memhg38	False40
LP0029_04_L003	0.00433763617351135	0memhg38	False40
LP0029_05_L004	0.00434083160243871	0memhg38	False40
LP0029_06_L003	0.00433763617351138	0memhg38	False40
LP0030_03_L004	0.00334822505078681	0memhg38	False40
LP0030_05_L004	0.00334343347212082	0memhg38	False40
LP0025_05_L003	0.00783486122737776	0memhg38	False40
LP0025_06_L003	0.00363914987344653	0memhg38	False40
LP0025_10_L003	0.0379300088923532	0memhg38	False40
LP0025_11_L003	0.0093172520628274	0memhg38	False40
LP0025_12_L003	0.0166653549709631	0memhg38	False40
LP0025_15_L003	0.0577999595113388	0memhg38	False40
LP0025_17_L003	0.0414416202155376	0memhg38	False40
LP0025_21_L004	0.158300768951636	0memhg38	False40
LP0025_24_L003	0.00882096609337726	0memhg38	False40
LP0026_05_L003	0.0166944612381136	0memhg38	False40
LP0026_07_L003	0.00573700454361376	0memhg38	False40
LP0026_08_L003	0.222268872405754	0memhg38	False40
LP0026_22_L003	0.0195440313819102	0memhg38	False40
LP0026_26_L004	0.0670146076479668	0memhg38	False40
LP0026_38_L004	0.0807920992162758	0memhg38	False40
LP0026_42_L004	0.0938246798178525	0memhg38	False40
LP0027_26_L003	0.0575547044172788	0memhg38	False40
LP0027_35_L003	0.0419404689922338	0memhg38	False40
LP0027_39_L003	0.0569948262980077	0memhg38	False40
LP0028_01_L004	0.171561246337741	0memhg38	False40
LP0020_01	0.0112108885978947	0memhg38	FalseDI26830XA
LP0020_02	0.0143872514887434	0memhg38	FalseDI26830XA
LP0020_03	0.020076875	0memhg38	FalseDI26830XA
LP0020_04	0.0545744770296275	0memhg38	FalseDI26830XA
LP0020_05	0.0253994913053823	0memhg38	FalseDI26830XA
LP0020_06	0.025341539999078	0memhg38	FalseDI26830XA
LP0020_07	0.0168872909212322	0memhg38	FalseDI26830XA
LP0020_08	0.0190048587001485	0memhg38	FalseDI26830XA
LP0025_01_L004	0.00573358310554044	0memhg38	FalseDI26830XA
LP0025_02_L004	0.00712907466423527	0memhg38	FalseDI26830XA
LP0025_03_L003	0.00503680668654123	0memhg38	FalseDI26830XA
LP0025_04_L004	0.00533195361141184	0memhg38	FalseDI26830XA
LP0025_07_L004	0.00544220067550048	0memhg38	FalseDI26830XA
LP0025_08_L004	0.00545592002511402	0memhg38	FalseDI26830XA
LP0029_02_L004	0.00573495101044766	0memhg38	FalseDI26830XA
LP0029_04_L003	0.00512895106898009	0memhg38	FalseDI26830XA
LP0029_05_L004	0.00405494430103416	0memhg38	FalseDI26830XA
LP0029_06_L003	0.009819046053641	0memhg38	FalseDI26830XA
LP0030_03_L004	0.00294214640117728	0memhg38	FalseDI26830XA
LP0030_05_L004	0.00404488509315385	0memhg38	FalseDI26830XA
LP0025_05_L003	0.0109246391689572	0memhg38	FalseDI26830XA
LP0025_06_L003	0.00503338859789474	0memhg38	FalseDI26830XA
LP0025_10_L003	0.0402584793580136	0memhg38	FalseDI26830XA
LP0025_11_L003	0.0117052414879356	0memhg38	FalseDI26830XA
