sample	tumor_fraction
	sample_id
LP0025_12_L003	0.01495	0memhg38-FalseDI26830XA
LP0025_15_L003	0.07292	0memhg38-FalseDI26830XA
LP0025_17_L003	0.02754	0memhg38-FalseDI26830XA
LP0025_21_L004	0.1119	0memhg38-FalseDI26830XA
LP0025_24_L003	0.0122	0memhg38-FalseDI26830XA
LP0026_05_L003	0.02905	0memhg38-FalseDI26830XA
LP0026_07_L003	0.02847	0memhg38-FalseDI26830XA
LP0026_08_L003	0.247	0memhg38-FalseDI26830XA
LP0026_22_L003	0.2252	0memhg38-FalseDI26830XA
LP0026_26_L004	0.4398	0memhg38-FalseDI26830XA
LP0026_38_L004	0.1551	0memhg38-FalseDI26830XA
LP0026_42_L004	0.1325	0memhg38-FalseDI26830XA
LP0027_26_L003	0.1184	0memhg38-FalseDI26830XA
LP0027_35_L003	0.1689	0memhg38-FalseDI26830XA
LP0027_39_L003	0.137	0memhg38-FalseDI26830XA
LP0028_01_L004	0.1031	0memhg38-FalseDI26830XA
LP0029_02_L004	0.008461	0memhg38-FalseDI26830XA
LP0029_04_L003	0.01065	0memhg38-FalseDI26830XA
LP0029_05_L004	0.004789	0memhg38-FalseDI26830XA
LP0029_06_L003	0.004873	0memhg38-FalseDI26830XA
LP0030_03_L004	0.008454	0memhg38-FalseDI26830XA
LP0030_05_L004	0.008322	0memhg38-FalseDI26830XA
LP0020_01	0.01035	0memhg38-True40
LP0020_02	0.01436	0memhg38-True40
LP0020_03	0.008799	0memhg38-True40
LP0020_04	0.01508	0memhg38-True40
LP0020_05	0.01027	0memhg38-True40
LP0020_06	0.011	0memhg38-True40
LP0020_07	0.0116	0memhg38-True40
LP0020_08	0.009406	0memhg38-True40
LP0025_01_L004	0.00445	0memhg38-True40
LP0025_02_L004	0.01483	0memhg38-True40
LP0025_03_L003	0.00638	0memhg38-True40
LP0025_04_L004	0.005101	0memhg38-True40
LP0025_05_L003	0.009484	0memhg38-True40
LP0025_06_L003	0.006211	0memhg38-True40
LP0025_07_L004	0.01291	0memhg38-True40
LP0025_08_L004	0.005496	0memhg38-True40
LP0025_10_L003	0.8399	0memhg38-True40
LP0025_11_L003	0.01345	0memhg38-True40
LP0025_12_L003	0.01505	0memhg38-True40
LP0025_15_L003	0.0728	0memhg38-True40
LP0025_17_L003	0.02704	0memhg38-True40
LP0025_21_L004	0.1123	0memhg38-True40
LP0025_24_L003	0.0136	0memhg38-True40
LP0026_05_L003	0.02261	0memhg38-True40
LP0026_07_L003	0.007171	0memhg38-True40
LP0026_08_L003	0.2469	0memhg38-True40
LP0026_22_L003	0.2252	0memhg38-True40
LP0026_26_L004	0.4396	0memhg38-True40
LP0026_38_L004	0.1566	0memhg38-True40
LP0026_42_L004	0.1293	0memhg38-True40
LP0027_26_L003	0.1187	0memhg38-True40
LP0027_35_L003	0.1682	0memhg38-True40
LP0027_39_L003	0.1383	0memhg38-True40
LP0028_01_L004	0.1023	0memhg38-True40
LP0029_02_L004	0.008223	0memhg38-True40
LP0029_04_L003	0.009547	0memhg38-True40
LP0029_05_L004	0.006523	0memhg38-True40
LP0029_06_L003	0.005589	0memhg38-True40
LP0030_03_L004	0.008404	0memhg38-True40
LP0030_05_L004	0.007446	0memhg38-True40
LP0020_01	0.009379	0memhg38-TrueDI26830XA
LP0020_02	0.01018	0memhg38-TrueDI26830XA
LP0020_03	0.01132	0memhg38-TrueDI26830XA
LP0020_04	0	0memhg38-TrueDI26830XA
LP0020_05	0.007837	0memhg38-TrueDI26830XA
LP0020_06	0.01519	0memhg38-TrueDI26830XA
LP0020_07	0.01073	0memhg38-TrueDI26830XA
LP0020_08	0.01097	0memhg38-TrueDI26830XA
LP0025_01_L004	0.004382	0memhg38-TrueDI26830XA
LP0025_02_L004	0.016	0memhg38-TrueDI26830XA
LP0025_03_L003	0.006162	0memhg38-TrueDI26830XA
LP0025_04_L004	0.006047	0memhg38-TrueDI26830XA
LP0025_05_L003	0.004629	0memhg38-TrueDI26830XA
LP0025_06_L003	0.00663	0memhg38-TrueDI26830XA
LP0025_07_L004	0.01258	0memhg38-TrueDI26830XA
LP0025_08_L004	0.004464	0memhg38-TrueDI26830XA
LP0025_10_L003	0.8409	0memhg38-TrueDI26830XA
LP0025_11_L003	0.01231	0memhg38-TrueDI26830XA
LP0025_12_L003	0.01574	0memhg38-TrueDI26830XA
LP0025_15_L003	0.07374	0memhg38-TrueDI26830XA
LP0025_17_L003	0.02633	0memhg38-TrueDI26830XA
LP0025_21_L004	0.1117	0memhg38-TrueDI26830XA
LP0025_24_L003	0.01242	0memhg38-TrueDI26830XA
LP0026_05_L003	0.02917	0memhg38-TrueDI26830XA
LP0026_07_L003	0.03029	0memhg38-TrueDI26830XA
LP0026_08_L003	0.2473	0memhg38-TrueDI26830XA
LP0026_22_L003	0.2258	0memhg38-TrueDI26830XA
LP0026_26_L004	0.4398	0memhg38-TrueDI26830XA
LP0026_38_L004	0.1566	0memhg38-TrueDI26830XA
LP0026_42_L004	0.1312	0memhg38-TrueDI26830XA
LP0027_26_L003	0.1192	0memhg38-TrueDI26830XA
LP0027_35_L003	0.1681	0memhg38-TrueDI26830XA
LP0027_39_L003	0.137	0memhg38-TrueDI26830XA
LP0028_01_L004	0.104	0memhg38-TrueDI26830XA
LP0029_02_L004	0.009434	0memhg38-TrueDI26830XA
LP0029_04_L003	0.01255	0memhg38-TrueDI26830XA
LP0029_05_L004	0.004535	0memhg38-TrueDI26830XA
LP0029_06_L003	0	0memhg38-TrueDI26830XA
LP0030_03_L004	0.008945	0memhg38-TrueDI26830XA
LP0030_05_L004	0.008114	0memhg38-TrueDI26830XA
LP0020_01	0.01056	0memhg38noalt-False40
LP0020_02	0.01631	0memhg38noalt-False40
LP0020_03	0.01112	0memhg38noalt-False40
LP0020_04	0.01254	0memhg38noalt-False40
LP0020_05	0.01774	0memhg38noalt-False40
LP0020_06	0.01431	0memhg38noalt-False40
LP0020_07	0.01325	0memhg38noalt-False40
LP0020_08	0.01324	0memhg38noalt-False40
LP0025_01_L004	0.002573	0memhg38noalt-False40
LP0025_02_L004	0.01596	0memhg38noalt-False40
LP0025_03_L003	0.004133	0memhg38noalt-False40
LP0025_04_L004	0	0memhg38noalt-False40
LP0025_05_L003	0.008806	0memhg38noalt-False40
LP0025_06_L003	0.003303	0memhg38noalt-False40
LP0025_07_L004	0.01119	0memhg38noalt-False40
LP0025_08_L004	0	0memhg38noalt-False40
LP0025_10_L003	0.006604	0memhg38noalt-False40
LP0025_11_L003	0.01348	0memhg38noalt-False40
LP0025_12_L003	0.01402	0memhg38noalt-False40
LP0025_15_L003	0.07949	0memhg38noalt-False40
LP0025_17_L003	0.02928	0memhg38noalt-False40
LP0025_21_L004	0.1381	0memhg38noalt-False40
LP0025_24_L003	0.006025	0memhg38noalt-False40
LP0026_05_L003	0.02221	0memhg38noalt-False40
LP0026_07_L003	0.02161	0memhg38noalt-False40
LP0026_08_L003	0.2713	0memhg38noalt-False40
LP0026_22_L003	0.2244	0memhg38noalt-False40
LP0026_26_L004	0.4394	0memhg38noalt-False40
LP0026_38_L004	0.1563	0memhg38noalt-False40
LP0026_42_L004	0.1325	0memhg38noalt-False40
LP0027_26_L003	0.118	0memhg38noalt-False40
LP0027_35_L003	0.1677	0memhg38noalt-False40
LP0027_39_L003	0.1382	0memhg38noalt-False40
LP0028_01_L004	0.1021	0memhg38noalt-False40
LP0029_02_L004	0.005389	0memhg38noalt-False40
LP0029_04_L003	0.01388	0memhg38noalt-False40
LP0029_05_L004	0.007403	0memhg38noalt-False40
LP0029_06_L003	0.007846	0memhg38noalt-False40
LP0030_03_L004	0.008789	0memhg38noalt-False40
LP0030_05_L004	0.004975	0memhg38noalt-False40
LP0020_01	0.01065	0memhg38noalt-FalseDI26830XA
LP0020_02	0.0128	0memhg38noalt-FalseDI26830XA
LP0020_03	0.009929	0memhg38noalt-FalseDI26830XA
LP0020_04	0.01408	0memhg38noalt-FalseDI26830XA
LP0020_05	0.01509	0memhg38noalt-FalseDI26830XA
LP0020_06	0.01652	0memhg38noalt-FalseDI26830XA
LP0020_07	0.01364	0memhg38noalt-FalseDI26830XA
LP0020_08	0.01659	0memhg38noalt-FalseDI26830XA
LP0025_01_L004	0.003196	0memhg38noalt-FalseDI26830XA
LP0025_02_L004	0.01607	0memhg38noalt-FalseDI26830XA
LP0025_03_L003	0.00334	0memhg38noalt-FalseDI26830XA
LP0025_04_L004	0.004067	0memhg38noalt-FalseDI26830XA
LP0025_05_L003	0.008493	0memhg38noalt-FalseDI26830XA
LP0025_06_L003	0	0memhg38noalt-FalseDI26830XA
