sample	tumor_fraction
	sample_id
LP0025_24_L003	0.01335	0memhg38-False40
LP0026_05_L003	0.02843	0memhg38-False40
LP0026_07_L003	0.05612	0memhg38-False40
LP0026_08_L003	0.3428	0memhg38-False40
LP0026_22_L003	0.4416	0memhg38-False40
LP0026_26_L004	0.6453	0memhg38-False40
LP0026_38_L004	0.2542	0memhg38-False40
LP0026_42_L004	0.1208	0memhg38-False40
LP0027_26_L003	0.1229	0memhg38-False40
LP0027_35_L003	0.2387	0memhg38-False40
LP0027_39_L003	0.1604	0memhg38-False40
LP0028_01_L004	0.2687	0memhg38-False40
LP0029_02_L004	0.009833	0memhg38-False40
LP0029_04_L003	0.0151	0memhg38-False40
LP0029_05_L004	0.007392	0memhg38-False40
LP0029_06_L003	0.007705	0memhg38-False40
LP0030_03_L004	0.00673	0memhg38-False40
LP0030_05_L004	0.009147	0memhg38-False40
LP0020_01	0.01678	0memhg38-FalseDI26830XA
LP0020_02	0.0272	0memhg38-FalseDI26830XA
LP0020_03	0.03263	0memhg38-FalseDI26830XA
LP0020_04	0.03427	0memhg38-FalseDI26830XA
LP0020_05	0	0memhg38-FalseDI26830XA
LP0020_06	0.02524	0memhg38-FalseDI26830XA
LP0020_07	0.01838	0memhg38-FalseDI26830XA
LP0020_08	0	0memhg38-FalseDI26830XA
LP0025_01_L004	0	0memhg38-FalseDI26830XA
LP0025_02_L004	0.01207	0memhg38-FalseDI26830XA
LP0025_03_L003	0.003326	0memhg38-FalseDI26830XA
LP0025_04_L004	0	0memhg38-FalseDI26830XA
LP0025_05_L003	0.01636	0memhg38-FalseDI26830XA
LP0025_06_L003	0.01611	0memhg38-FalseDI26830XA
LP0025_07_L004	0.01242	0memhg38-FalseDI26830XA
LP0025_08_L004	0	0memhg38-FalseDI26830XA
LP0025_10_L003	0.8941	0memhg38-FalseDI26830XA
LP0025_11_L003	0.01706	0memhg38-FalseDI26830XA
LP0025_12_L003	0.03136	0memhg38-FalseDI26830XA
LP0025_15_L003	0.1332	0memhg38-FalseDI26830XA
LP0025_17_L003	0.06669	0memhg38-FalseDI26830XA
LP0025_21_L004	0.1888	0memhg38-FalseDI26830XA
LP0025_24_L003	0.009224	0memhg38-FalseDI26830XA
LP0026_05_L003	0.02604	0memhg38-FalseDI26830XA
LP0026_07_L003	0.0554	0memhg38-FalseDI26830XA
LP0026_08_L003	0.3425	0memhg38-FalseDI26830XA
LP0026_22_L003	0.4426	0memhg38-FalseDI26830XA
LP0026_26_L004	0.6459	0memhg38-FalseDI26830XA
LP0026_38_L004	0.2547	0memhg38-FalseDI26830XA
LP0026_42_L004	0.1209	0memhg38-FalseDI26830XA
LP0027_26_L003	0.1235	0memhg38-FalseDI26830XA
LP0027_35_L003	0.2391	0memhg38-FalseDI26830XA
LP0027_39_L003	0.1598	0memhg38-FalseDI26830XA
LP0028_01_L004	0.27	0memhg38-FalseDI26830XA
LP0029_02_L004	0.00943	0memhg38-FalseDI26830XA
LP0029_04_L003	0.01385	0memhg38-FalseDI26830XA
LP0029_05_L004	0.005938	0memhg38-FalseDI26830XA
LP0029_06_L003	0.005972	0memhg38-FalseDI26830XA
LP0030_03_L004	0.005825	0memhg38-FalseDI26830XA
LP0030_05_L004	0.008076	0memhg38-FalseDI26830XA
LP0020_01	0.01598	0memhg38-True40
LP0020_02	0	0memhg38-True40
LP0020_03	0.03403	0memhg38-True40
LP0020_04	0.03324	0memhg38-True40
LP0020_05	0.0158	0memhg38-True40
LP0020_06	0.02445	0memhg38-True40
LP0020_07	0.01621	0memhg38-True40
LP0020_08	0.02435	0memhg38-True40
LP0025_01_L004	0.005113	0memhg38-True40
LP0025_02_L004	0.01214	0memhg38-True40
LP0025_03_L003	0.007079	0memhg38-True40
LP0025_04_L004	0.005801	0memhg38-True40
LP0025_05_L003	0.01615	0memhg38-True40
LP0025_06_L003	0.01398	0memhg38-True40
LP0025_07_L004	0.009952	0memhg38-True40
LP0025_08_L004	0.006274	0memhg38-True40
LP0025_10_L003	0.893	0memhg38-True40
LP0025_11_L003	0.01435	0memhg38-True40
LP0025_12_L003	0.03121	0memhg38-True40
LP0025_15_L003	0.1398	0memhg38-True40
LP0025_17_L003	0.06657	0memhg38-True40
LP0025_21_L004	0.1898	0memhg38-True40
LP0025_24_L003	0.01408	0memhg38-True40
LP0026_05_L003	0.02485	0memhg38-True40
LP0026_07_L003	0.05705	0memhg38-True40
LP0026_08_L003	0.3422	0memhg38-True40
LP0026_22_L003	0.4406	0memhg38-True40
LP0026_26_L004	0.6448	0memhg38-True40
LP0026_38_L004	0.2529	0memhg38-True40
LP0026_42_L004	0.1195	0memhg38-True40
LP0027_26_L003	0.1229	0memhg38-True40
LP0027_35_L003	0.2374	0memhg38-True40
LP0027_39_L003	0.1611	0memhg38-True40
LP0028_01_L004	0.2696	0memhg38-True40
LP0029_02_L004	0.008666	0memhg38-True40
LP0029_04_L003	0.01394	0memhg38-True40
LP0029_05_L004	0.005911	0memhg38-True40
LP0029_06_L003	0.008812	0memhg38-True40
LP0030_03_L004	0.005679	0memhg38-True40
LP0030_05_L004	0.008181	0memhg38-True40
LP0020_01	0.01947	0memhg38-TrueDI26830XA
LP0020_02	0.03141	0memhg38-TrueDI26830XA
LP0020_03	0.03464	0memhg38-TrueDI26830XA
LP0020_04	0.05048	0memhg38-TrueDI26830XA
LP0020_05	0	0memhg38-TrueDI26830XA
LP0020_06	0.03031	0memhg38-TrueDI26830XA
LP0020_07	0.01956	0memhg38-TrueDI26830XA
LP0020_08	0	0memhg38-TrueDI26830XA
LP0025_01_L004	0	0memhg38-TrueDI26830XA
LP0025_02_L004	0.01149	0memhg38-TrueDI26830XA
LP0025_03_L003	0.005483	0memhg38-TrueDI26830XA
LP0025_04_L004	0.007672	0memhg38-TrueDI26830XA
LP0025_05_L003	0.01331	0memhg38-TrueDI26830XA
LP0025_06_L003	0.009386	0memhg38-TrueDI26830XA
LP0025_07_L004	0.01142	0memhg38-TrueDI26830XA
LP0025_08_L004	0.005862	0memhg38-TrueDI26830XA
LP0025_10_L003	0.8937	0memhg38-TrueDI26830XA
LP0025_11_L003	0.01377	0memhg38-TrueDI26830XA
LP0025_12_L003	0.0337	0memhg38-TrueDI26830XA
LP0025_15_L003	0.1321	0memhg38-TrueDI26830XA
LP0025_17_L003	0.06654	0memhg38-TrueDI26830XA
LP0025_21_L004	0.1893	0memhg38-TrueDI26830XA
LP0025_24_L003	0.01235	0memhg38-TrueDI26830XA
LP0026_05_L003	0.02525	0memhg38-TrueDI26830XA
LP0026_07_L003	0.05352	0memhg38-TrueDI26830XA
LP0026_08_L003	0.3425	0memhg38-TrueDI26830XA
LP0026_22_L003	0.4413	0memhg38-TrueDI26830XA
LP0026_26_L004	0.6454	0memhg38-TrueDI26830XA
