sampleID	Tumor.Fraction	ref_genome	settings
LP0030_05_L004	0.01755	0memhg38	FalseDI26830XA
LP0020_01	0.008243	0memhg38	True40
LP0020_02	0.01561	0memhg38	True40
LP0020_03	0.01325	0memhg38	True40
LP0020_04	0.01766	0memhg38	True40
LP0020_05	0.01571	0memhg38	True40
LP0020_06	0.01486	0memhg38	True40
LP0020_07	0.01938	0memhg38	True40
LP0020_08	0.01905	0memhg38	True40
LP0025_01_L004	0.007834	0memhg38	True40
LP0025_02_L004	0.01352	0memhg38	True40
LP0025_03_L003	0.014	0memhg38	True40
LP0025_04_L004	0.01074	0memhg38	True40
LP0025_05_L003	0.01686	0memhg38	True40
LP0025_06_L003	0.01723	0memhg38	True40
LP0025_07_L004	0.01384	0memhg38	True40
LP0025_08_L004	0.01156	0memhg38	True40
LP0025_10_L003	0.838	0memhg38	True40
LP0025_11_L003	0.02127	0memhg38	True40
LP0025_12_L003	0.01716	0memhg38	True40
LP0025_15_L003	0.08494	0memhg38	True40
LP0025_17_L003	0.03578	0memhg38	True40
LP0025_21_L004	0.1093	0memhg38	True40
LP0025_24_L003	0.01436	0memhg38	True40
LP0026_05_L003	0.02561	0memhg38	True40
LP0026_07_L003	0.01694	0memhg38	True40
LP0026_08_L003	0.2798	0memhg38	True40
LP0026_22_L003	0.2234	0memhg38	True40
LP0026_26_L004	0.4475	0memhg38	True40
LP0026_38_L004	0.151	0memhg38	True40
LP0026_42_L004	0.143	0memhg38	True40
LP0027_26_L003	0.1426	0memhg38	True40
LP0027_35_L003	0.1604	0memhg38	True40
LP0027_39_L003	0.1596	0memhg38	True40
LP0028_01_L004	0.1077	0memhg38	True40
LP0029_02_L004	0.009393	0memhg38	True40
LP0029_04_L003	0.008818	0memhg38	True40
LP0029_05_L004	0	0memhg38	True40
LP0029_06_L003	0.007464	0memhg38	True40
LP0030_03_L004	0	0memhg38	True40
LP0030_05_L004	0.01699	0memhg38	True40
LP0020_01	0.0111	0memhg38	TrueDI26830XA
