sampleID	tMAD_vs_control	ref_genome	settings
LP0025_21_L004	0.0779520821328657	0memhg19decoy	True40
LP0025_24_L003	0.00852525013798649	0memhg19decoy	True40
LP0026_05_L003	0.0276535178858145	0memhg19decoy	True40
LP0026_07_L003	0.012610481416703	0memhg19decoy	True40
LP0026_08_L003	0.164270646067001	0memhg19decoy	True40
LP0026_22_L003	0.023567484038688	0memhg19decoy	True40
LP0026_26_L004	0.0622768587790761	0memhg19decoy	True40
LP0026_38_L004	0.0575171771605008	0memhg19decoy	True40
LP0026_42_L004	0.118295246978977	0memhg19decoy	True40
LP0027_26_L003	0.0619886520773115	0memhg19decoy	True40
LP0027_35_L003	0.0427201577624375	0memhg19decoy	True40
LP0027_39_L003	0.021033608413922	0memhg19decoy	True40
LP0028_01_L004	0.0360651498418896	0memhg19decoy	True40
LP0020_01	0.0134089635171977	0memhg19decoy	TrueDI26830XA
LP0020_02	0.0102178246642353	0memhg19decoy	TrueDI26830XA
LP0020_03	0.0102242113508516	0memhg19decoy	TrueDI26830XA
LP0020_04	0.0116234052289024	0memhg19decoy	TrueDI26830XA
LP0020_05	0.013899375	0memhg19decoy	TrueDI26830XA
LP0020_06	0.00932407933940496	0memhg19decoy	TrueDI26830XA
LP0020_07	0.013310222411625	0memhg19decoy	TrueDI26830XA
LP0020_08	0.0113367780158476	0memhg19decoy	TrueDI26830XA
LP0025_01_L004	0.0061439977398152	0memhg19decoy	TrueDI26830XA
LP0025_02_L004	0.0133166174489023	0memhg19decoy	TrueDI26830XA
LP0025_03_L003	0.0113048601164803	0memhg19decoy	TrueDI26830XA
LP0025_04_L004	0.0106321194681083	0memhg19decoy	TrueDI26830XA
LP0025_07_L004	0.00772187500000002	0memhg19decoy	TrueDI26830XA
LP0025_08_L004	0.00893463571529888	0memhg19decoy	TrueDI26830XA
LP0029_02_L004	0.00782460025602372	0memhg19decoy	TrueDI26830XA
LP0029_04_L003	0.0103163434678718	0memhg19decoy	TrueDI26830XA
LP0029_05_L004	0.00894148530837447	0memhg19decoy	TrueDI26830XA
LP0029_06_L003	0.0110520397996849	0memhg19decoy	TrueDI26830XA
LP0030_03_L004	0.00852411114659463	0memhg19decoy	TrueDI26830XA
LP0030_05_L004	0.0083040782179428	0memhg19decoy	TrueDI26830XA
LP0025_05_L003	0.00854009092575422	0memhg19decoy	TrueDI26830XA
LP0025_06_L003	0.0117616367704094	0memhg19decoy	TrueDI26830XA
LP0025_10_L003	0.0370263649260262	0memhg19decoy	TrueDI26830XA
LP0025_11_L003	0.010310543125389	0memhg19decoy	TrueDI26830XA
LP0025_12_L003	0.0113239858387728	0memhg19decoy	TrueDI26830XA
LP0025_15_L003	0.0386624803293482	0memhg19decoy	TrueDI26830XA
LP0025_17_L003	0.0158317683985077	0memhg19decoy	TrueDI26830XA
LP0025_21_L004	0.0752239998456304	0memhg19decoy	TrueDI26830XA
LP0025_24_L003	0.0068313091934621	0memhg19decoy	TrueDI26830XA
LP0026_05_L003	0.020076875	0memhg19decoy	TrueDI26830XA
LP0026_07_L003	0.00891755081895998	0memhg19decoy	TrueDI26830XA
LP0026_08_L003	0.208202700365156	0memhg19decoy	TrueDI26830XA
LP0026_22_L003	0.0191246680258219	0memhg19decoy	TrueDI26830XA
LP0026_26_L004	0.0981849964861269	0memhg19decoy	TrueDI26830XA
LP0026_38_L004	0.0701185722177891	0memhg19decoy	TrueDI26830XA
LP0026_42_L004	0.113874684992278	0memhg19decoy	TrueDI26830XA
LP0027_26_L003	0.0656692026447755	0memhg19decoy	TrueDI26830XA
LP0027_35_L003	0.0509646453263873	0memhg19decoy	TrueDI26830XA
LP0027_39_L003	0.0325148003511097	0memhg19decoy	TrueDI26830XA
LP0028_01_L004	0.0382891435706031	0memhg19decoy	TrueDI26830XA
LP0020_01	0.0110706125220609	0memhg38	False40
LP0020_02	0.00892096333995884	0memhg38	False40
LP0020_03	0.00951615126956054	0memhg38	False40
LP0020_04	0.010810625	0memhg38	False40
LP0020_05	0.00533104152577367	0memhg38	False40
LP0020_06	0.00993237638398545	0memhg38	False40
LP0020_07	0.00924029214431442	0memhg38	False40
LP0020_08	0.0100040324230992	0memhg38	False40
LP0025_01_L004	0.00923526089725033	0memhg38	False40
LP0025_02_L004	0.0120800826573629	0memhg38	False40
LP0025_03_L003	0.00681358142337684	0memhg38	False40
LP0025_04_L004	0.010056688476574	0memhg38	False40
LP0025_07_L004	0.0109063232025194	0memhg38	False40
LP0025_08_L004	0.00334263578798593	0memhg38	False40
LP0029_02_L004	0.00922647202609947	0memhg38	False40
LP0029_04_L003	0.0112154475381784	0memhg38	False40
LP0029_05_L004	0.00515607683521296	0memhg38	False40
LP0029_06_L003	0.00999926422178968	0memhg38	False40
LP0030_03_L004	0.00811872719336426	0memhg38	False40
LP0030_05_L004	0.00852069640136962	0memhg38	False40
LP0025_05_L003	0.00981460035860872	0memhg38	False40
LP0025_06_L003	0.00813012456957853	0memhg38	False40
LP0025_10_L003	0.0382447135832524	0memhg38	False40
LP0025_11_L003	0.00982041776234063	0memhg38	False40
LP0025_12_L003	0.00594198835432976	0memhg38	False40
LP0025_15_L003	0.0312430347880191	0memhg38	False40
LP0025_17_L003	0.0145234522856512	0memhg38	False40
LP0025_21_L004	0.066657720377681	0memhg38	False40
LP0025_24_L003	0.00403759197727679	0memhg38	False40
LP0026_05_L003	0.020076875	0memhg38	False40
LP0026_07_L003	0.00791607370504693	0memhg38	False40
LP0026_08_L003	0.174949747377207	0memhg38	False40
LP0026_22_L003	0.020076875	0memhg38	False40
LP0026_26_L004	0.0401429855033585	0memhg38	False40
LP0026_38_L004	0.0585971040178239	0memhg38	False40
LP0026_42_L004	0.110462894958051	0memhg38	False40
LP0027_26_L003	0.0452468820745563	0memhg38	False40
LP0027_35_L003	0.0637448098209669	0memhg38	False40
LP0027_39_L003	0.0394454406569312	0memhg38	False40
LP0028_01_L004	0.0321360560023815	0memhg38	False40
LP0020_01	0.0117355486406886	0memhg38	FalseDI26830XA
LP0020_02	0.0106217360095197	0memhg38	FalseDI26830XA
LP0020_03	0.0144633268660389	0memhg38	FalseDI26830XA
LP0020_04	0.0103396017086595	0memhg38	FalseDI26830XA
LP0020_05	0.00784721873937086	0memhg38	FalseDI26830XA
LP0020_06	0.0193181359126731	0memhg38	FalseDI26830XA
LP0020_07	0.0113144136175549	0memhg38	FalseDI26830XA
LP0020_08	0.0099754697381984	0memhg38	FalseDI26830XA
